A34G1GTMQGEDUN,0,0,1,1,0.6666666667,5,TRUTHFUL
A8OBY4EP2OCDZ,0,0,1,5.2666666667,6,7,FAKE
AQOQUWM58SGFR,0,0,1,0.5,0.6666666667,5,TRUTHFUL
A1OZ7F08MNF320,0,0,1,1,2.5,7,FAKE
A2CIR2MO07ZIY3,0,0,1,2,0,5,TRUTHFUL
A2LBHMQ3142G3S,0,0,1,5.75,0,9,TRUTHFUL
A1YOLMONF9LIVJ,0.1428571429,0,0.8571428571,2,0.75,7,TRUTHFUL
A3M48SSAOTBSMW,0.1666666667,0,0.8333333333,1,2,6,TRUTHFUL
AUUI1FKERRMV2,0,0,1,2.6071428571,0,5,TRUTHFUL
A2K5JT08E0WTWR,0,0,1,3,0.6666666667,5,TRUTHFUL
A2SRCVYVHA6G19,0,0.1666666667,0.8333333333,1,1,6,TRUTHFUL
A1V7G6OGGW7AGA,0,0,1,3,0.5,6,TRUTHFUL
A3LNNEYLGGCO25,0,0.4,0.6,2,1.5,5,TRUTHFUL
A2JZY5POMJADL1,0,0,1,0,0.6666666667,5,TRUTHFUL
ANADY67KNW4Z,0,0.4,0.6,0,0.6666666667,5,TRUTHFUL
A17SLR18TUMULM,0,0,1,1,1,6,TRUTHFUL
A1WQNVR4H66YX9,0,0.1666666667,0.8333333333,7.7833333333,0.5,12,TRUTHFUL
AD4MJT7YYVHP7,0,0,1,0.6666666667,1.3333333333,7,TRUTHFUL
A386KVFXZR6XL8,0,0.125,0.875,0,1,8,TRUTHFUL
AZAYBFPLEDFL7,0,0,1,2,0.6666666667,5,TRUTHFUL
A3DOIOHQ19H1BP,0,0.1666666667,0.8333333333,0.5526315789,5,6,FAKE
AN5QXK8A9F8LH,0,0,1,1,0.6666666667,5,TRUTHFUL
A2D8OM8XL872DO,0,0,1,2,0.6666666667,5,TRUTHFUL
A372X4QU0YYLSM,0,0,1,2,1.5,5,TRUTHFUL
A2AH7HRHDTQENH,0,0.1428571429,0.8571428571,0,0.75,7,TRUTHFUL
A195EZSQDW3E21,0,0,1,2,0.1666666667,7,TRUTHFUL
A1TJ393OFP21I8,0.4,0,0.6,0.5,0.6666666667,5,TRUTHFUL
AEG2MOBNK5KCA,0,0,1,0,0.6666666667,5,TRUTHFUL
A3UQS40N3PW18L,0,0,1,1,1.5,5,TRUTHFUL
ALA9EIJ7G1SCF,0,0,1,0.6666666667,4,5,FAKE
A1QAT2Y011KWFX,0,0.2,0.8,2,0.25,5,TRUTHFUL
A2U4KTDIVI8KMR,0.2,0,0.8,0,0.25,5,TRUTHFUL
A3TBMAWIIHKHFN,0,0.2727272727,0.7272727273,3,0.2222222222,11,TRUTHFUL
A3ITN3125FJETP,0.0476190476,0,0.9523809524,2,1.3333333333,21,TRUTHFUL
A95J3RNEFN425,0,0,1,2,1.5,5,TRUTHFUL
A1KO6FM2PGCYC8,0.1428571429,0.1428571429,0.7142857143,1.5,1.3333333333,7,TRUTHFUL
A3MLQDXQPVNB2O,0,0,1,2.6666666667,0,5,TRUTHFUL
A3KNGMX2RVQG91,0,0.2,0.8,1,0,5,TRUTHFUL
A2RVY2GDMZHH4,0.0555555556,0.2777777778,0.6666666667,3,3.5,18,TRUTHFUL
A2SHWIOE8TVWJ2,0,0,1,1,0.1666666667,7,TRUTHFUL
ASEBPAY8IBNI2,0,0,1,2,2.5,7,TRUTHFUL
A3QK723XT3MJXZ,0,0,1,2.6666666667,0.5,6,TRUTHFUL
A2D9QW4TY8CFB0,0,0,1,0,0.2,6,TRUTHFUL
A300S5QIIMBQNH,0.2,0,0.8,0.75,0.25,5,TRUTHFUL
A2WT46GVYE1ZDD,0,0.3333333333,0.6666666667,0.875,0,6,TRUTHFUL
A206T0W1VE8K1Q,0.2,0,0.8,0.8666666667,0.25,5,TRUTHFUL
AQJXACOTDMH03,0,0,1,2.75,1.5,5,TRUTHFUL
A356YVTEMDX69J,0,0.6,0.4,0.5,0.6666666667,5,TRUTHFUL
A3QNHDUBMA6WQM,0,0,1,1,1.5,5,TRUTHFUL
A3G21YYF2EXCS8,0,0,1,2,0.4,7,TRUTHFUL
AMP0Z3DR4RCH7,0,0.1333333333,0.8666666667,2.5,1.5,15,TRUTHFUL
A1O7G2PW6LGL0G,0.1111111111,0,0.8888888889,1,1.25,9,TRUTHFUL
